City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
87,Guerrero Negro,27.9769,-114.0611,75.99,61,47,16.11,MX,scattered clouds
88,Hilo,19.7297,-155.09,78.28,87,75,0.0,US,light rain
89,Codrington,-38.2667,141.9667,49.33,83,63,18.7,AU,broken clouds
90,Rosario,-32.9468,-60.6393,81.84,34,0,3.0,AR,clear sky
91,Hithadhoo,-0.6,73.0833,82.89,74,100,6.62,MV,light rain
92,Chokurdakh,70.6333,147.9167,31.86,93,100,11.01,RU,overcast clouds
93,Fortuna,40.5982,-124.1573,65.93,65,1,3.0,US,clear sky
94,Jumla,29.2747,82.1838,60.1,93,82,1.07,NP,broken clouds
95,Tiksi,71.6872,128.8694,34.41,78,100,15.93,RU,overcast clouds
96,Mayo,38.8876,-76.5119,81.1,85,90,8.99,US,overcast clouds
97,Kaitangata,-46.2817,169.8464,33.66,87,21,4.97,NZ,few clouds
98,Russell,32.3502,-85.1999,81.97,77,90,3.44,US,overcast clouds
99,Kangaatsiaq,68.3065,-53.4641,31.5,55,10,6.85,GL,clear sky
100,Severomuysk,56.1481,113.4267,26.58,71,8,2.46,RU,clear sky
101,Tungor,53.3808,142.9564,50.43,80,56,11.03,RU,broken clouds
102,Kahului,20.8947,-156.47,78.82,84,40,8.05,US,scattered clouds
103,Dzilam Gonzalez,21.2833,-88.9333,95.94,41,74,5.03,MX,broken clouds
104,Qinggang,46.6833,126.0833,56.7,95,84,4.72,CN,broken clouds
105,Namtsy,62.7161,129.6658,44.71,98,100,6.62,RU,light rain
106,Port Lincoln,-34.7333,135.8667,54.54,57,59,18.48,AU,broken clouds
107,Chuy,-33.6971,-53.4616,63.64,63,22,10.8,UY,few clouds
108,Pangnirtung,66.1451,-65.7125,36.55,65,100,3.06,CA,overcast clouds
109,Murindo,6.9848,-76.7544,88.16,72,70,5.03,CO,broken clouds
110,Cairns,-16.9167,145.7667,71.55,75,91,13.8,AU,overcast clouds
111,Davila,18.4726,120.5763,76.98,78,32,4.45,PH,scattered clouds
112,Tshane,-24.0196,21.8684,65.5,12,3,6.22,BW,clear sky
113,Ottumwa,41.02,-92.4113,84.74,61,1,5.01,US,clear sky
114,Manggar,-2.8833,108.2667,80.62,81,12,11.14,ID,few clouds
115,Petropavlovsk-Kamchatskiy,53.0452,158.6483,39.79,100,0,6.71,RU,clear sky
116,Nuuk,64.1835,-51.7216,43.41,56,20,5.75,GL,few clouds
